Unnamed: 0,name_of_the_fund_lst,aum_funds_individual_lst,nav_funds_individual_lst,Exit_Load_lst,rating_of_funds_individual_lst,minimum_funds_individual_lst,pe,pb,debt_per,equity_per,average_maturity,yield_to_maturity,name_of_the_fund,risk_of_the_fund,type_of_fund,one_year_returns,three_year_returns,five_year_returns,link_of_the_funds
853,BHARAT Bond FOF April 2023 Direct Growth,"₹2,295.68Cr",11.76,Exit load of 0.10% if redeemed within 30 days.,3,500.0,,,100.0,0.0,273.75,6.39,BHARAT Bond FOF April 2023 Direct Growth,Low to Moderate,Other,3.5,,,https://groww.in/mutual-funds/bharat-bond-fof-april-2023-direct-growth
854,Union Midcap Fund Direct Growth,₹425.95Cr,27.49,1% exit load if redeemed within 15 days.,,425.95,37.40701551,5.8094166,4.229999999999999,95.77,,,Union Midcap Fund Direct Growth,Very High,Equity,6.1,,,https://groww.in/mutual-funds/union-midcap-fund-direct-growth
855,BHARAT Bond FOF April 2023 Direct Growth,"₹2,295.68Cr",11.76,Exit load of 0.10% if redeemed within 30 days.,3,500.0,,,100.0,0.0,273.75,6.39,BHARAT Bond FOF April 2023 Direct Growth,Low to Moderate,Other,3.5,,,https://groww.in/mutual-funds/bharat-bond-fof-april-2023-direct-growth
856,Union Midcap Fund Direct Growth,₹425.95Cr,27.49,1% exit load if redeemed within 15 days.,,425.95,37.40701551,5.8094166,4.229999999999999,95.77,,,Union Midcap Fund Direct Growth,Very High,Equity,6.1,,,https://groww.in/mutual-funds/union-midcap-fund-direct-growth
857,BHARAT Bond FOF April 2031 Direct Growth,"₹2,227.28Cr",10.52,"Exit load 0.10%, If redeemed within 30 days",,500.0,,,100.00004375,0.0,3098.85,7.68,BHARAT Bond FOF April 2031 Direct Growth,Moderate,Other,1.37,,,https://groww.in/mutual-funds/bharat-bond-fof-april-2031-direct-growth
858,Mahindra Manulife Hybrid Equity Nivesh Yojana Direct Growth,₹461.70Cr,17.17,"For units more than 10% of the investments, an exit load of 1% if redeemed within 12 months.",1,500.0,19.39024508,2.92554089,27.28,72.72,837.3977934500001,6.24762602,Mahindra Manulife Hybrid Equity Nivesh Yojana Direct Growth,Moderately High,Hybrid,6.56,,,https://groww.in/mutual-funds/mahindra-hybrid-equity-nivesh-yojana-direct-growth
859,ITI Small Cap Fund Direct Growth,₹363.24Cr,13.77,"Exit load of 1%, if redeemed within 12 months.",,500.0,13.89304885,2.10500968,1.82,98.18,,,ITI Small Cap Fund Direct Growth,Very High,Equity,-16.45,,,https://groww.in/mutual-funds/iti-small-cap-fund-direct-growth
860,Mirae Asset Banking and PSU Debt Fund Direct Growth,₹113.75Cr,10.68,Nil,3,113.75,,,99.99999989,0.0,448.95,6.25,Mirae Asset Banking and PSU Debt Fund Direct Growth,Low to Moderate,Debt,2.45,,,https://groww.in/mutual-funds/mirae-asset-banking-and-psu-debt-fund-direct-growth
861,Invesco India Focused 20 Equity Fund Direct Growth,"₹1,527.71Cr",14.56,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",,500.0,25.47845692,3.53432436,9.56,90.44,,,Invesco India Focused 20 Equity Fund Direct Growth,Very High,Equity,2.1,,,https://groww.in/mutual-funds/invesco-india-focused-20-equity-fund-direct-growth
862,TRUSTMF Banking &amp; PSU Debt Fund Direct Growth,₹482.72Cr,"1,046.71",Nil,,482.72,,,99.99952675,0.0,1449.05,7.14,TRUSTMF Banking &amp; PSU Debt Fund Direct Growth,Moderate,Debt,2.23,,,https://groww.in/mutual-funds/trust-mf-banking-psu-debt-fund-direct-growth
863,SBI Retirement Benefit Fund Conservative Hybrid Plan Direct Growth,₹180.88Cr,11.36,Nil,,500.0,27.09519282,3.75059716,60.92,39.08,3000.3,7.11,SBI Retirement Benefit Fund Conservative Hybrid Plan Direct Growth,High,Solution Oriented,5.35,,,https://groww.in/mutual-funds/sbi-retirement-benefit-fund-conservative-hybrid-plan-direct-growth
864,Mahindra Manulife Short Term Fund Direct Growth,₹80.73Cr,10.57,Nil,,500.0,,,100.0,0.0,709.3640023,6.60941555,Mahindra Manulife Short Term Fund Direct Growth,Moderate,Debt,3.09,,,https://groww.in/mutual-funds/mahindra-manulife-short-term-fund-direct-growth
865,Mahindra Manulife Ultra Short Term Fund Direct Growth,₹216.83Cr,"1,141.92",Nil,3,500.0,,,100.0,0.0,126.38408605,6.00808127,Mahindra Manulife Ultra Short Term Fund Direct Growth,Moderately Low,Debt,3.77,,,https://groww.in/mutual-funds/mahindra-ultra-short-term-yojana-direct-growth
866,Mahindra Manulife Arbitrage Yojana Direct Growth,₹23.09Cr,10.69,"Exit load of 0.25%, if redeemed within 30 days.",5,500.0,12.85546637,2.42768892,99.88,0.12,1.00000145,4.69,Mahindra Manulife Arbitrage Yojana Direct Growth,Low,Hybrid,3.3,,,https://groww.in/mutual-funds/mahindra-manulife-arbitrage-yojana-direct-growth
867,Mirae Asset Nifty 100 ESG Sector Leaders FoF Direct Growth,₹127.11Cr,12.23,Exit load of 0.05% if redeemed within 5 days.,,127.11,20.19854842,3.26280633,0.65559997,99.3444,,,Mirae Asset Nifty 100 ESG Sector Leaders FoF Direct Growth,Very High,Other,1.86,,,https://groww.in/mutual-funds/mirae-asset-esg-sector-leaders-fund-of-fund-direct-growth
868,Nippon India Asset Allocator FoF Direct Growth,₹92.93Cr,12.25,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 Months.",,100.0,18.62329627,2.75399155,35.25327353,43.376541,,,Nippon India Asset Allocator FoF Direct Growth,High,Other,4.6,,,https://groww.in/mutual-funds/nippon-india-asset-allocator-fof-direct-growth
869,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,"₹1,727.53Cr",10.40,Nil,,1727.53,,,100.0,0.0,2003.85,7.35,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,Moderate,Other,1.54,,,https://groww.in/mutual-funds/idfc-gilt-2028-index-fund-direct-growth
870,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct Growth,₹111.22Cr,10.58,Nil,,100.0,20.643288,3.095328,0.47674695,99.52325278,,,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund Direct Growth,Very High,Other,6.05,,,https://groww.in/mutual-funds/aditya-birla-sun-life-nifty-50-equal-weight-index-fund-direct-growth
871,Aditya Birla Sun Life ESG Fund Direct Growth,₹908.41Cr,11.76,1% for redemption within 30 days,,500.0,29.40379859,4.7468905,4.72619486,95.27380312,,,Aditya Birla Sun Life ESG Fund Direct Growth,Very High,Equity,-0.51,,,https://groww.in/mutual-funds/aditya-birla-sun-life-esg-fund-direct-growth
872,Union Hybrid Equity Fund Direct Growth,₹539.06Cr,12.12,Exit load of 1% if redeemed within 15 days.,,539.06,24.85527834,3.76312293,26.68,73.32,324.85,5.71,Union Hybrid Equity Fund Direct Growth,Very High,Hybrid,1.85,,,https://groww.in/mutual-funds/union-hybrid-equity-fund-direct-growth
873,Nippon India Passive Flexicap FoF Direct Growth,₹176.07Cr,12.80,Nil,,100.0,19.42606073,2.86995613,0.743991,99.257209,,,Nippon India Passive Flexicap FoF Direct Growth,Very High,Other,3.49,,,https://groww.in/mutual-funds/nippon-india-passive-flexicap-fof-direct-growth
874,Mirae Asset Banking and Financial Services Fund Direct Growth,₹985.10Cr,12.09,Exit load of 1% if redeemed within one year.,,985.1,16.39089446,2.20040263,1.55733907,98.44266084,,,Mirae Asset Banking and Financial Services Fund Direct Growth,Very High,Equity,1.99,,,https://groww.in/mutual-funds/mirae-asset-banking-and-financial-services-fund-direct-growth
875,SBI Retirement Benefit Fund Aggressive Hybrid Plan Direct Growth,₹637.18Cr,12.57,Nil,,500.0,26.60398784,3.7023636,19.57,80.43,1215.45,7.06,SBI Retirement Benefit Fund Aggressive Hybrid Plan Direct Growth,Very High,Solution Oriented,10.38,,,https://groww.in/mutual-funds/sbi-retirement-benefit-fund-aggressive-hybrid-plan-direct-growth
876,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund Direct Growth,"₹6,154.11Cr",10.58,Exit load 0.10% if redeemed within 30 days.,,500.0,,,100.0,0.0,1303.05,7.33,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund Direct Growth,Moderate,Other,2.52,,,https://groww.in/mutual-funds/edelweiss-nifty-psu-bond-plus-sdl-index-fund-2026-direct-growth
877,Aditya Birla Sun Life Multi Cap Fund Direct Growth,"₹3,354.58Cr",11.91,1% for redemption within 90 days,,500.0,24.95054111,3.37661867,3.04276715,96.95723129,,,Aditya Birla Sun Life Multi Cap Fund Direct Growth,Very High,Equity,5.59,,,https://groww.in/mutual-funds/aditya-birla-sun-life-multi-cap-fund-direct-growth
878,Canara Robeco Focused Equity Fund Direct Growth,"₹1,441.08Cr",11.62,Exit load of 1% if redeemed within 365 Days.,,1441.08,30.94943192,4.0642771,3.52,96.48,,,Canara Robeco Focused Equity Fund Direct Growth,Very High,Equity,5.93,,,https://groww.in/mutual-funds/canara-robeco-focused-equity-fund-direct-growth
879,Nippon India Flexi Cap Fund Direct Growth,"₹3,705.44Cr",10.31,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",,100.0,20.00465883,2.85297724,8.58,91.42,,,Nippon India Flexi Cap Fund Direct Growth,Very High,Equity,,,,https://groww.in/mutual-funds/nippon-india-flexi-cap-fund-direct-growth
880,Mirae Asset Money Market Fund Direct Growth,₹52.20Cr,"1,035.91",Nil,,52.2,,,99.99999994,0.0,128.67000075,5.49,Mirae Asset Money Market Fund Direct Growth,Low to Moderate,Debt,,,,https://groww.in/mutual-funds/mirae-asset-money-market-fund-direct-growth
881,Baroda BNP Paribas Business Cycle Fund Direct Growth,₹861.30Cr,9.34,"For units in excess of 10% of the investment,1% will be charged for redemption within 1 year.",,861.3,21.73885934,3.18308455,7.76,92.24,,,Baroda BNP Paribas Business Cycle Fund Direct Growth,Very High,Equity,,,,https://groww.in/mutual-funds/baroda-business-cycle-fund-direct-growth
882,HDFC Developed World Indexes FoF Direct Growth,₹997.24Cr,9.27,Exit load of 1% if redeemed within 30 days.,,500.0,,,1.13,98.87,,,HDFC Developed World Indexes FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/hdfc-developed-world-indexes-fof-direct-growth
883,ICICI Prudential Nifty Smallcap 250 Index Fund Direct Growth,₹48.59Cr,8.80,Exit load of 1% if redeemed within 365 days.,,100.0,19.804064,2.275731,0.62144934,99.37854943,,,ICICI Prudential Nifty Smallcap 250 Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/icici-prudential-smallcap-index-fund-direct-growth
884,HDFC NIFTY Next 50 Index Fund Direct Growth,₹313.16Cr,9.30,Nil,,500.0,24.519206,3.447297,0.4,99.6,,,HDFC NIFTY Next 50 Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/hdfc-nifty-next-50-index-fund-direct-growth
885,ICICI Prudential S&amp;P BSE 500 ETF FOF Direct Growth,₹22.44Cr,9.57,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 months",,100.0,19.5036445,2.89475337,0.58205021,99.417947,,,ICICI Prudential S&amp;P BSE 500 ETF FOF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/icici-prudential-s-p-bse-500-etf-fof-direct-growth
886,Axis Nifty Next 50 Index Fund Direct Growth,₹58.33Cr,9.66,Nil,,58.33,24.519206,3.447297,0.47,99.53,,,Axis Nifty Next 50 Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/axis-nifty-next-50-index-fund-direct-growth
887,Aditya Birla Sun Life Silver ETF FoF Direct Growth,₹63.95Cr,9.13,Exit load of 0.5% if redeemed within 30 days.,,100.0,,,4.0414772,0.0,,,Aditya Birla Sun Life Silver ETF FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/aditya-birla-sun-life-silver-etf-fof-direct-growth
888,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund Direct Growth,"₹2,342.55Cr",9.96,Exit load of 0.50% if redeemed within 30 days.,,500.0,,,99.99999967000001,0.0,1620.6,7.62,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund Direct Growth,Moderate,Other,,,,https://groww.in/mutual-funds/aditya-birla-sun-life-nifty-sdl-apr-2027-index-fund-direct-growth
889,Mirae Asset Nifty India Manufacturing ETF FoF Direct Growth,₹37.43Cr,9.82,Exit load of 0.50% if redeemed within 3 months.,,37.43,14.48827655,2.77548101,0.91301169,99.086988,,,Mirae Asset Nifty India Manufacturing ETF FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/mirae-asset-nifty-india-manufacturing-etf-fof-direct-growth
890,ITI Conservative Hybrid Fund Direct Growth,₹18.00Cr,10.04,Nil,,500.0,19.84869966,2.98982315,89.4,10.6,49.27500000000001,4.62,ITI Conservative Hybrid Fund Direct Growth,Low to Moderate,Hybrid,,,,https://groww.in/mutual-funds/iti-conservative-hybrid-fund-direct-growth
891,Motilal Oswal S&amp;P BSE Low Volatility Index Fund Direct Growth,₹6.69Cr,10.36,Exit load of 1% if redeemed within 15 days.,,500.0,29.619684,6.230713,-0.10778924,100.1077891,,,Motilal Oswal S&amp;P BSE Low Volatility Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/motilal-oswal-s-p-bse-low-volatility-index-fund-direct-growth
892,Axis Nifty Midcap 50 Index Fund Direct Growth,₹23.23Cr,9.59,Exit load of 0.25% if redeemed within 7 days.,,23.23,22.646075,2.495264,0.53,99.47,,,Axis Nifty Midcap 50 Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/axis-nifty-midcap-50-index-fund-direct-growth
893,Tata Floating Rate Fund Direct Growth,₹460.89Cr,10.39,Nil,,150.0,,,99.99999998999999,0.0,653.35,7.13404856,Tata Floating Rate Fund Direct Growth,Low to Moderate,Debt,3.81,,,https://groww.in/mutual-funds/tata-floating-rate-fund-direct-growth
894,PGIM India Small Cap Fund Direct Growth,"₹1,676.52Cr",10.39,0.5% for redemption within 90 days,,1676.52,22.83012889,3.37846192,5.64000001,94.36,,,PGIM India Small Cap Fund Direct Growth,Very High,Equity,,,,https://groww.in/mutual-funds/pgim-india-small-cap-fund-direct-growth
895,Mahindra Manulife Flexi Cap Yojana Direct Growth,₹879.68Cr,9.80,Exit load 0.50% if redeemed within 3 months.,,500.0,23.7832724,3.12166928,1.92,98.08,,,Mahindra Manulife Flexi Cap Yojana Direct Growth,Very High,Equity,,,,https://groww.in/mutual-funds/mahindra-manulife-flexi-cap-yojana-direct-growth
896,SBI Balanced Advantage Fund Direct Growth,"₹23,435.85Cr",10.22,"For units in excess of 10% of the investment,1% will be charged for redemption within 1 year.",,500.0,17.44926419,2.83605453,57.36619312000001,42.63380688,1211.8,6.24,SBI Balanced Advantage Fund Direct Growth,Moderately High,Hybrid,,,,https://groww.in/mutual-funds/sbi-balanced-advantage-fund-direct-growth
897,ICICI Prudential Nifty Alpha Low Volatility 30 ETF FOF Direct Growth,₹98.78Cr,8.80,Nil,,100.0,30.73691858,4.77098912,0.5159679500000001,99.484032,,,ICICI Prudential Nifty Alpha Low Volatility 30 ETF FOF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/icici-prudential-alpha-low-vol-30-etf-fof-direct-growth
898,ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund Direct Growth,"₹4,309.15Cr",10.00,Nil,,500.0,,,99.99999968,0.0,1857.85,7.43,ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund Direct Growth,Moderate,Other,,,,https://groww.in/mutual-funds/icici-prudential-psu-bond-plus-sdl-40%3A60-index-fund-sep-2027-direct-growth
899,Edelweiss Nifty 50 Index Fund Direct Growth,₹6.74Cr,9.34,Nil,,500.0,20.659379,3.07749,0.61,99.39,,,Edelweiss Nifty 50 Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/edelweiss-nifty-50-index-fund-direct-growth
900,Quant Value Fund Direct Growth,₹426.92Cr,9.67,Nil,,426.92,12.49632412,1.6730956,0.91120756,99.08881569,,,Quant Value Fund Direct Growth,Very High,Equity,,,,https://groww.in/mutual-funds/quant-value-fund-direct-growth
901,Navi Nifty Next 50 Index Fund Direct Growth,₹60.09Cr,9.29,Nil,,500.0,24.519206,3.447297,-0.44,100.44,,,Navi Nifty Next 50 Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/navi-nifty-next-50-index-fund-direct-growth
902,Nippon India Silver ETF FoF Direct Growth,₹158.16Cr,9.03,Exit load of 1% if redeemed within 15 days.,,100.0,,,3.235384239999999,0.0,,,Nippon India Silver ETF FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/nippon-india-silver-etf-fof-direct-growth
903,Motilal Oswal Nifty 200 Momentum 30 Index Fund Direct Growth,₹132.39Cr,8.52,Exit load of 1% if redeemed within 15 days.,,500.0,20.044662,2.680393,-1.89595046,101.89595023,,,Motilal Oswal Nifty 200 Momentum 30 Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/motilal-oswal-nifty-200-momentum-30-index-fund-direct-growth
904,Kotak Manufacture in India Fund Direct Growth,₹749.06Cr,10.63,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",,500.0,20.99827024,3.41142548,3.05,96.95,,,Kotak Manufacture in India Fund Direct Growth,Very High,Equity,,,,https://groww.in/mutual-funds/kotak-manufacture-in-india-fund-direct-growth
905,Navi Nifty Midcap 150 Index Fund Direct Growth,₹15.15Cr,10.19,Nil,,500.0,24.349756,2.791419,-0.03999999,100.04,,,Navi Nifty Midcap 150 Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/navi-nifty-midcap-150-index-fund-direct-growth
906,UTI Nifty Midcap 150 Quality 50 Index Fund Direct Growth,₹98.65Cr,9.17,Nil,,500.0,25.130668,5.501128,-0.65948658,100.65948636,,,UTI Nifty Midcap 150 Quality 50 Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/uti-nifty-midcap-150-quality-50-index-fund-direct-growth
907,Invesco India Invesco EQQQ NASDAQ 100 ETF FoF Direct Growth,₹60.24Cr,9.12,Nil,,500.0,,,2.28,97.72,,,Invesco India Invesco EQQQ NASDAQ 100 ETF FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/invesco-india-invesco-eqqq-nasdaq-100-etf-fof-direct-growth
908,SBI Fixed Maturity Plan Series 5 (92 Days) Direct Growth,₹256.53Cr,10.19,Nil,,256.53,,,100.0,0.0,,,SBI Fixed Maturity Plan Series 5 (92 Days) Direct Growth,Moderately Low,Debt,,,,https://groww.in/mutual-funds/sbi-fixed-maturity-plan-(fmp)-series-5-(92-days)-direct-growth
909,Kotak International REIT FOF Direct Growth,₹159.33Cr,9.64,"For units in excess of 8% of the investment,1% will be charged for redemption within 365 days",,159.33,,,0.81,99.19,,,Kotak International REIT FOF Direct Growth,Very High,Other,-1.71,,,https://groww.in/mutual-funds/kotak-international-reit-fof-direct-growth
910,SBI International Access US Equity FoF Direct Growth,₹909.64Cr,10.83,Exit load of 1% if redeemed within one year,,909.64,,,0.6000000000000001,99.4,,,SBI International Access US Equity FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/sbi-international-access-us-equity-fof-direct-growth
911,Principal Small Cap Fund Direct Growth,₹512.88Cr,25.91,"For units in excess of 24% of the investment,1% will be charged for redemption within 365 days",,512.88,25.32599681,3.15429021,4.22,95.78,,,Principal Small Cap Fund Direct Growth,Moderately High,Equity,78.29,,,https://groww.in/mutual-funds/principal-small-cap-fund-direct-growth
912,Axis Fixed Term Plan Series 109 (111 Days) Direct Growth,₹565.69Cr,10.12,Nil,,565.69,,,100.0,0.0,,,Axis Fixed Term Plan Series 109 (111 Days) Direct Growth,Moderate,Debt,,,,https://groww.in/mutual-funds/axis-fixed-term-plan-series-109-(111-days)-direct-growth
913,ICICI Prudential Global Advantage Fund (FOF) Direct Growth,₹203.26Cr,12.25,Exit load of 1% if redeemed within 1 months.,,100.0,13.49016434,1.63176401,8.129895399999999,90.997918,,,ICICI Prudential Global Advantage Fund (FOF) Direct Growth,High,Other,-15.54,,,https://groww.in/mutual-funds/icici-prudential-global-advantage-fund-direct-growth
914,Kotak Nasdaq 100 FOF Direct Growth,"₹1,112.52Cr",9.86,Nil,,1112.52,,,0.48,99.52,,,Kotak Nasdaq 100 FOF Direct Growth,Very High,Other,-11.61,,,https://groww.in/mutual-funds/kotak-nasdaq-100-fof-direct-growth
915,HSBC Global Equity Climate Change FoF Direct Growth,₹415.19Cr,8.31,Exit load of 1% if redeemed within 1 year.,,500.0,,,0.09,99.91,,,HSBC Global Equity Climate Change FoF Direct Growth,Very High,Other,-20.92,,,https://groww.in/mutual-funds/hsbc-global-equity-climate-change-fof-direct-growth
916,Mahindra Manulife Asia Pacific REITs FoF Direct Growth,₹33.96Cr,8.96,"For units in excess of 10% of the investment, exit load of 1% if redeemed within 1 year, 0.5% if redeemed after 1 year but within 2 years.",2,33.96,,,1.59,98.41,,,Mahindra Manulife Asia Pacific REITs FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/mahindra-manulife-asia-pacific-reits-fof-direct-growth
